# Define lists of hyperparameters to search over
learning_rates = [0.001, 0.0015, 0.002]
Accuracy: 0.4350000023841858 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 60}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.38999998569488525 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.375 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.3799999952316284 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 60}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.3700000047683716 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 60}
Accuracy: 0.3050000071525574 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 256, 'epochs': 50}
Accuracy: 0.32499998807907104 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.3, 'batch_size': 256, 'epochs': 60}
Accuracy: 0.3050000071525574 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.4000000059604645 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.3799999952316284 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.4000000059604645 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 32, 'epochs': 60}
Accuracy: 0.30000001192092896 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 64, 'epochs': 60}
Accuracy: 0.27000001072883606 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.3100000023841858 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.32499998807907104 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.0015, 'dropout_rate': 0.5, 'batch_size': 128, 'epochs': 60}
