learning_rates = [0.001, 0.01, 0.1, 0.2, 0.25, 0.3]
dropout_rates = [0.1, 0.2, 0.3]
batch_sizes = [16, 32, 64, 128, 256]
epochs_list = [10, 20, 30, 40, 50]

Accuracy: 0.20000000298023224 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.2849999964237213 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.30000001192092896 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.3149999976158142 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.30000001192092896 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 10}
Accuracy: 0.3149999976158142 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 20}
Accuracy: 0.28999999165534973 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.3449999988079071 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.26499998569488525 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 10}
Accuracy: 0.28999999165534973 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 20}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.01, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 30}
